tweet_id,airline,text,sentiment_groundtruth,tweet_created
569846356409339900,American,@AmericanAir thank you for doing the best you could to get me rebooked. Agent on phone &amp; addtl resolution on DM was very much appreciated.,positive,2015-02-23
569715065202577400,American,@AmericanAir wow that's helpful.,positive,2015-02-22
567813839539159040,United,"@united so I wasted 40mins filling in 2 online forms you are telling me you didn't receive, how do I know this won't happen this time?",negative,2015-02-17
570232494034964500,American,@AmericanAir my seat is disgusting. Old and dirty. When are you going to refurbish this plane?  US Air 597 jfk to phx,negative,2015-02-24
5.6966954721030963e+17,US Airways,"@USAirways ur specialist said they would talk to the stewardess about not serving drunks drinks, REALLY how does that help",negative,2015-02-22
568987540155453440,Delta,@JetBlue of course !!!!,positive,2015-02-20
568607755042484200,US Airways,"@USAirways 1st a Late Flight plane, then missing flight crew, then maintenance problems, gates switched 4 times. You call this customer service??",negative,2015-02-19
569500986638798850,United,@united thank you!,positive,2015-02-22
569592390211801100,US Airways,"@usairways Is your reservation phone number working? Called 10x in the last 3 days, and haven’t gotten through.",negative,2015-02-22
569151367702401e3,US Airways,"@USAirways on hold for 1hr, 30min. Not willing to hang in there as long as @franchise02. @AmericanAir answered in 7 min. U are not 1 yet.",negative,2015-02-21
570195373018505200,Delta,@JetBlue why do this to me sending N598JB to UVF today and its a weekday why not a weekend :'(,negative,2015-02-24
568887349481861100,US Airways,@USAirways Wishing we had our luggage. 2 days now. Had to pay our way from St Thomas to San Juan. Spent extra $$$ because of this mess up.,negative,2015-02-20
569724918016839700,American,@AmericanAir Get a new crystal ball. Cancelled Flight flights before weather hits to rebook me on flight during? Looking like 2 nights hotel on me.,negative,2015-02-22
568183509577125900,United,@united 1 hour since boarding began and we're still sitting at the gate.  #UA507,negative,2015-02-18
570010882069151740,Delta,@JetBlue you found my camera!  Thank you!  You rock!,positive,2015-02-23
569706873525391360,American,.@AmericanAir Flight 654 Delayed / Flight 409 You sold my seat / flight 0671 strand me in PHX for three hours. Thanks for the memories 😡😤😖😲😩,negative,2015-02-22
569631575819710460,American,@AmericanAir I've flown you many years without a complaint. You should start listening to your customers.  You went from first to worst,negative,2015-02-22
569614651400585200,United,@united I would take the $500 voucher you offered for MISCOUNTING THE # OF SEATS ON YOUR PLANE but that means I would have to fly you again,negative,2015-02-22
569847852605812740,Delta,@JetBlue shocker my flight delayed an hour. Thanks for reminding me why I switched to delta.,negative,2015-02-23
568124733851443200,Delta,@JetBlue their names are both Angel (seriously - how cool is that!). Truly FANTASTIC service!,positive,2015-02-18
569886612538023940,American,@AmericanAir got off the phone w/ rep now flight has disappeared. Locator IRRLCD she said I was rescheduled. Help please.,negative,2015-02-23
569469326547222500,United,"@united since I have an international connection at 9am, I'm hoping for the same thing!",negative,2015-02-22
569611217301450750,American,@AmericanAir that's quite an impressive list of fees!,negative,2015-02-22
569692168165527550,American,"“@AmericanAir:  ""Jason, you'll end up missing your connection. Please see our DFW agents for assistance.” Nope! Hasn't taken off yet, still!",negative,2015-02-22
569864290578108400,United,"@united You can't control turbulence, but you can control customer experience, lot of scared people up here.",negative,2015-02-23
569235333050576900,Delta,@JetBlue continuing you record of never having a flight leave on time. Add up how much time with with my family you have cost me. #jetblue,negative,2015-02-21
568763877992706050,Southwest,@SouthwestAir having trouble with Wifi. No matter what I get redirected back to getconnected page even though it says I'm connected.,negative,2015-02-20
569883543536574460,American,@AmericanAir @USAirways use the app you say?? http://t.co/WnY9TzsR8N,negative,2015-02-23
567744627143213060,Southwest,@SouthwestAir Thanks a ton!,positive,2015-02-17
5.7021205054846157e+17,American,@AmericanAir She seems a little preoccupied - that's why I'm bringing it to your attention. I am just flagging an issue as an observer.,negative,2015-02-24
568616190609764350,US Airways,@USAirways yes .not sure how you guys don't know gate is occupied and keep us waiting,negative,2015-02-19
570272235639828500,American,@AmericanAir how about some rampers at gate b40 dfw?   Waiting to be marshaled in,negative,2015-02-24
5.6879772987634483e+17,Southwest,@SouthwestAir have been doing that for hours already,negative,2015-02-20
569373631999926300,US Airways,@USAirways still waiting on your reps to show. Now 40 mins into waiting in below freezing weather waiting for a cab.,negative,2015-02-21
569942903683813400,Virgin America,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",positive,2015-02-23
570231192102019100,American,"@AmericanAir once again flying AA4285, once again 60+ min delay because of mechanical issues. Perhaps you should consider maintenance?",negative,2015-02-24
