house_id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,20,RL,80,10400,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,189,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0,1090,1090.0,GasA,TA,Y,SBrkr,1370,0,0,1370,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,479,TA,TA,Y,0,0,0,0,0,0,MnPrv,0,6,2009,WD,Family,152000
2,60,RL,0,28698,Pave,none,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,2Story,5,5,1967,1967,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,TA,PConc,TA,Gd,Gd,LwQ,249.0,ALQ,764,0,1013.0,GasA,TA,Y,SBrkr,1160,966,0,2126,0,1,2,1,3,1,TA,7,Min2,0,none,Attchd,Fin,2,538,TA,TA,Y,486,0,0,0,225,0,none,0,6,2009,WD,Abnorml,185000
3,90,RL,70,9842,Pave,none,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,Duplex,1Story,4,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,Slab,none,none,none,none,0.0,none,0,0,0.0,GasA,TA,Y,SBrkr,1224,0,0,1224,0,0,2,0,2,2,TA,6,Typ,0,none,CarPort,Unf,2,462,TA,TA,Y,0,0,0,0,0,0,none,0,3,2007,WD,Normal,101800
4,90,RL,60,7200,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,4,5,1949,1950,Gable,CompShg,BrkFace,Stone,None,0,TA,TA,Slab,none,none,none,none,0.0,none,0,0,0.0,Wall,Fa,N,FuseF,1040,0,0,1040,0,0,2,0,2,2,TA,6,Typ,0,none,Detchd,Unf,2,420,TA,TA,Y,0,0,0,0,0,0,none,0,6,2009,WD,Normal,90000
5,190,RM,63,7627,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,2fmCon,2Story,4,6,1920,1950,Gable,CompShg,AsbShng,AsbShng,None,0,Fa,TA,BrkTil,Fa,Po,No,Unf,0.0,Unf,0,600,600.0,GasA,Gd,N,SBrkr,1101,600,0,1701,0,0,2,0,4,2,Fa,8,Typ,0,none,none,none,0,0,none,none,N,0,0,148,0,0,0,none,0,10,2009,WD,Normal,94550
6,60,RL,97,10029,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,268,Gd,TA,PConc,Gd,TA,No,GLQ,831.0,Unf,0,320,1151.0,GasA,TA,Y,SBrkr,1164,896,0,2060,0,1,2,1,4,1,TA,8,Typ,1,TA,Attchd,Unf,2,521,TA,TA,Y,0,228,0,0,192,0,none,0,9,2007,WD,Normal,211000
7,60,RL,84,9660,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,242,Gd,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0,253,1044.0,GasA,Ex,Y,SBrkr,1079,897,0,1976,1,0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,Fin,3,885,TA,TA,Y,210,31,0,0,0,0,none,0,2,2006,WD,Normal,286000
8,20,RL,75,11310,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,WdSdng,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0,1367,1367.0,GasA,Ex,Y,SBrkr,1375,0,0,1375,0,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,Unf,2,451,TA,TA,Y,0,30,0,0,0,0,none,0,6,2006,WD,Normal,140000
9,60,RL,0,18450,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,5,1965,1979,Flat,Tar&Grv,Plywood,Plywood,BrkCmn,113,TA,Gd,CBlock,Gd,TA,No,LwQ,187.0,Rec,723,111,1021.0,GasA,TA,Y,SBrkr,1465,915,0,2380,0,0,2,1,3,1,TA,7,Sev,1,Po,CarPort,Unf,2,596,TA,TA,Y,0,265,0,0,0,0,none,0,8,2007,WD,Abnorml,129000
10,20,RL,85,10200,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,180,Gd,TA,PConc,Gd,TA,Av,GLQ,1478.0,Unf,0,100,1578.0,GasA,Ex,Y,SBrkr,1602,0,0,1602,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,810,TA,TA,Y,0,48,0,0,195,0,none,0,1,2009,WD,Normal,293200
11,20,RL,63,10712,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,1991,1992,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,Mn,BLQ,212.0,Unf,0,762,974.0,GasA,TA,Y,SBrkr,974,0,0,974,0,0,1,0,3,1,TA,5,Typ,0,none,none,none,0,0,none,none,Y,0,28,0,0,0,0,MnPrv,0,9,2007,Oth,Abnorml,93500
