ID,Decision,Build_Selfcon,Tier,Accommodation_Class,Loan_Type,Gender,Employment_Type,Doc_Proof_Inc,Marital_Status,Employer_Type,Education_Class,Mode_of_origin_class,eom_25,OldEmi_d,BankSave_d,Age,YrsAdd,YrsJob,Expen,TotInc,DispInc,MarVal,OldEmi,LoanReq,Term,Dwnpay,BankSave,CalcEmi,IIR,IAR,FOIR,LTV,LVR
FBD-E2B0-588300,1,Self Contruction,2,Non_Rented,Home_Loan,Female,Salaried,N,Married,Corporate,U10,Others,0,0,0,29,27,1,7622,34298,26676,975000,0,780000,180,670000,0,12004.23047,34.99979727,45.00011422,34.99979727,80.0,54.0
GUJ-A79X-831476,0,Self Contruction,1,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,0,0,32,12,10,8700,25000,16300,1270000,0,800000,180,470000,0,12312.030270000001,49.24812109,75.53392806,49.24812109,62.99212598,62.99212646
SHB-947O-759226,1,Self Contruction,3,Rented,Home_Loan,Female,Salaried,N,Married,Corporate,GRADUATE+,Reference,0,0,1,29,1,1,9435,19863,10428,607595,0,480000,120,120000,300000,8342.290039,41.99914433,79.99894552,41.99914433,78.99999177,80.0
SHB-7S3I-679761,1,Self Contruction,3,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,UNDERGRADUATE,Reference,0,0,0,30,6,18,9462,14894,5432,1500000,0,300000,180,95000,0,4617.009765999999,30.99912559,84.99649789,30.99912559,20.0,76.0
VAD-BPKZ-551476,0,Self Contruction,2,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,UNDERGRADUATE,Reference,0,0,0,40,15,10,7666,34200,26535,1369863,0,1000000,180,375000,0,15390.04004,45.00011707,57.99902031,45.00011707,73.00000073,73.0
GUJ-2VAU-602681,1,Builder,1,Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,U10,Reference,0,0,1,51,6,2,7003,15055,8053,725806,0,450000,180,276000,266,6925.52002,46.00146144,85.99925518,46.00146144,62.00003858,62.0
GUJ-592E-753377,1,Self Contruction,1,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,UNDERGRADUATE,Reference,1,0,1,31,2,10,7851,17911,10060,694444,0,500000,180,190000,8928,7343.5,40.99994417,72.99701789,40.99994417,72.00004608,0.0
FBD-Z77E-568655,0,Self Contruction,2,Rented,Home_Loan,Male,Salaried,Y,Married,Corporate,UNDERGRADUATE,Reference,0,0,0,34,10,3,4801,24003,19203,100000,0,80000,180,1270000,0,960.1300049,4.000041682,4.999895875,4.000041682,80.0,6.0
DEL-Q6PJ-733129,1,Self Contruction,1,Non_Rented,Home_Loan,Female,Salaried,N,Married,Corporate,GRADUATE+,Reference,0,1,0,34,16,2,19934,49248,29314,1052632,9283,800000,180,200000,0,12312.030270000001,25.00006147,42.00051263,43.84955789999999,75.9999696,79.0
JAM-25PP-944954,1,Self Contruction,3,Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,UNDERGRADUATE,Reference,1,0,1,46,7,7,8866,18135,9269,705882,0,240000,120,460000,22000,4171.140136999999,23.00049703,45.00097245,23.00049703,34.000017,80.0
GUJ-G902-996259,0,Builder,1,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Others,1,0,0,44,6,16,9368,40148,30780,1200000,0,600000,180,350000,0,9234.030273,22.99997577,30.00009835,22.99997577,50.0,63.0
DEL-UNGG-756154,1,Self Contruction,1,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,GRADUATE+,Reference,1,0,0,41,7,12,10745,23420,12674,1000000,0,700000,180,300000,0,10773.030270000001,45.99927529,85.00102788,45.99927529,70.0,70.0
MDG-FPY1-699810,1,Self Contruction,3,Rented,Home_Loan,Female,Salaried,Y,Unmarried,Govt,UNDERGRADUATE,Own database field visit,0,0,0,28,2,2,16176,33276,17100,1052632,0,800000,180,250000,0,12312.030270000001,36.99973036,72.00017704,36.99973036,75.9999696,76.0
RAJ-89Q4-525637,1,Self Contruction,2,Non_Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,U10,Reference,0,0,0,44,12,11,8221,25054,16833,1842105,0,700000,180,300000,0,10773.030270000001,42.99924273,63.99946696,42.99924273,38.00000543,70.0
DEL-0M30-561836,1,Self Contruction,1,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,UNDERGRADUATE,Reference,1,0,0,34,25,7,20173,39716,19543,1194030,0,800000,180,400000,0,12312.030270000001,31.00017694,62.99969438,31.00017694,66.99999163,67.0
SHB-H504-730865,0,Self Contruction,3,Non_Rented,Home_Improvement,Female,Self_Employed,N,Married,Business,UNDERGRADUATE,Reference,0,0,0,37,8,15,8876,24921,16045,602410,0,500000,84,100000,0,11712.969729999999,47.00040017,73.00074619,47.00040017,82.9999502,83.0
SHB-3F19-699300,0,Self Contruction,3,Non_Rented,Home_Loan,Male,Self_Employed,N,Married,Business,GRADUATE+,Reference,0,1,0,48,4,6,12550,40000,27450,1400000,9137,800000,120,600000,0,13903.80957,34.75952393,50.65140098,57.60202393,57.14285714,57.1428566
DEL-K23U-890452,1,Self Contruction,1,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Others,0,1,0,38,3,16,19286,32638,13352,1194030,9028,800000,180,250000,0,11749.61035,35.99978660000001,87.99887921,63.66079524,66.99999163,76.0
JAI-89HD-650602,1,Self Contruction,2,Non_Rented,Home_Loan,Female,Salaried,N,Married,Ind/SmallBus,GRADUATE+,Own database field visit,0,0,0,54,50,1,12495,32745,20250,1204819,0,1000000,180,200000,0,15390.04004,46.99966419,76.00019772,46.99966419,83.00001909,83.0
SHB-86D1-702537,1,Self Contruction,3,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,0,0,34,3,15,16665,42750,26085,1250000,0,1000000,180,400000,0,15390.04004,36.00009366,58.99957845,36.00009366,80.0,80.0
IDR-5OAA-836592,1,Self Contruction,2,Non_Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,U10,Reference,1,0,0,54,35,30,6413,32063,25650,2000000,0,1000000,180,0,0,15390.04004,47.99937635,60.0001561,47.99937635,50.0,70.0
SHB-YP93-857449,1,Self Contruction,3,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,0,1,45,2,27,12051,30127,18076,1194030,0,800000,180,550000,100000,11749.61035,39.00026671,65.00116371,39.00026671,66.99999163,59.0
MDG-41A5-516640,1,Self Contruction,3,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,0,0,30,5,6,14148,27982,13834,1194030,0,800000,180,400000,0,12312.030270000001,43.99982229,88.99833941,43.99982229,66.99999163,67.0
DEL-A353-784494,1,Self Contruction,1,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,1,0,0,44,12,25,11700,20250,8550,746269,0,500000,180,250000,0,7695.02002,38.00009886,90.00023415,38.00009886,66.99996918,67.0
DEL-93RE-757156,1,Self Contruction,1,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,0,0,40,5,18,24134,34628,10493,1285714,0,450000,180,850000,0,6925.52002,19.99976903,66.00133441,19.99976903,35.00000778,35.0
SHB-CTRV-828173,1,Self Contruction,3,Rented,Home_Loan,Female,Salaried,N,Married,Corporate,U10,Reference,0,0,1,27,10,4,13687,25308,11621,1013699,0,740000,180,260000,500000,11388.62988,45.00011808,98.00042925,45.00011808,72.99997336,74.0
SHB-7121-599585,1,Builder,3,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,GRADUATE+,Reference,0,0,0,28,1,0,14727,34977,20250,625000,0,500000,180,127506,0,7695.02002,22.00022878,38.00009886,22.00022878,80.0,80.0
SHB-2DKY-937301,0,Self Contruction,3,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Others,1,0,0,48,6,25,11075,25558,14483,416667,0,250000,120,169000,0,4344.939941,17.00031278,30.00027578,17.00031278,59.999952,60.0
DEL-W4P0-598028,1,Self Contruction,1,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,0,0,32,1,15,8210,20981,12771,1600000,0,400000,180,130000,0,5874.799805,28.00057102,46.0010947,28.00057102,25.0,75.0
GUJ-I3A3-723034,1,Self Contruction,1,Non_Rented,Home_Loan,Female,Salaried,Y,Married,Govt,U10,Reference,0,0,1,30,20,2,6000,20250,14250,746269,0,500000,180,250000,22220,7695.02002,38.00009886,54.00014049,38.00009886,66.99996918,67.0
SRT-623A-939951,1,Self Contruction,2,Non_Rented,Home_Loan,Female,Salaried,N,Unmarried,Ind/SmallBus,U10,Reference,1,0,0,32,2,5,4356,8364,4008,625000,0,250000,180,275000,0,3847.51001,46.00083704,95.99575873,46.00083704,40.0,48.0
MDG-Z7LB-847539,0,Self Contruction,3,Rented,Home_Loan,Male,Salaried,N,Married,Corporate,GRADUATE+,Reference,0,0,0,30,3,3,7160,26134,18974,1200000,0,900000,180,300000,0,13851.04004,53.00007668,73.00010561,53.00007668,75.0,75.0
GUJ-4171-847108,0,Self Contruction,1,Non_Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,U10,Reference,0,0,0,25,1,4,4900,15000,10100,790625,0,550000,180,600000,0,8464.519531,56.43013021,83.80712407,56.43013021,69.56521739,69.56521606
SHB-E908-829878,1,Self Contruction,3,Non_Rented,Home_Loan,Female,Salaried,N,Married,Ind/SmallBus,UNDERGRADUATE,Reference,0,1,1,55,8,3,16177,36548,20371,1282051,5453,500000,60,300000,150000,12426.29004,33.99991802,60.99990201,48.92002309,39.00000858,62.0
SRT-LXVT-779644,1,Self Contruction,2,Rented,Home_Loan,Female,Salaried,N,Married,Ind/SmallBus,U10,Reference,0,0,0,32,10,2,8978,19238,10260,533333,0,400000,180,159000,0,6156.02002,31.99927238,60.00019512,31.99927238,75.00004688,69.0
SRT-9287-848411,1,Self Contruction,2,Non_Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,U10,Reference,0,0,0,33,15,11,8972,13991,5018,566038,0,300000,180,200000,0,4617.009765999999,32.99985538,92.00896305,32.99985538,52.99997527,60.0
GUJ-5WM2-781003,0,Self Contruction,1,Non_Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,U10,Reference,1,0,0,32,3,1,4104,12312,8208,1000000,0,400000,180,600000,0,6156.02002,50.000162599999996,75.0002439,50.000162599999996,40.0,40.0
DEL-11GX-950047,1,Self Contruction,1,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,0,0,38,3,25,14704,31569,16866,1052632,0,800000,180,250000,0,12312.030270000001,39.00038099,72.99911226,39.00038099,75.9999696,0.0
FBD-IADW-906116,1,Self Contruction,2,Rented,Home_Loan,Female,Salaried,Y,Married,Corporate,UNDERGRADUATE,Own database field visit,0,0,0,30,3,5,9433,24823,15390,1162791,0,500000,180,150000,0,7695.02002,30.99955694,50.00013008,30.99955694,42.99998882,77.0
SHB-REDB-576837,1,Self Contruction,3,Non_Rented,Home_Improvement,Female,Self_Employed,N,Married,Business,GRADUATE+,Reference,0,0,0,40,36,21,15617,35139,19522,600000,0,300000,84,300000,0,7027.779785,19.99994247,35.99928176,19.99994247,50.0,50.0
MDG-J7H0-730896,1,Self Contruction,3,Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,GRADUATE+,Reference,0,0,0,33,1,2,7862,15390,7528,882353,0,450000,180,320000,0,6925.52002,45.00013008,91.99681216,45.00013008,50.9999966,58.0
NAG-4156-714874,1,Self Contruction,2,Non_Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,UNDERGRADUATE,Reference,0,1,1,56,23,3,20820,52545,31725,1777778,2338,800000,84,968000,16396,16814.26953,31.9997517,53.00006156,36.44927116,44.99999438,45.0
SHB-7K6U-795684,0,Self Contruction,3,Non_Rented,Home_Improvement,Female,Salaried,N,Married,Corporate,UNDERGRADUATE,Others,0,0,0,23,2,3,9245,16344,7099,400000,0,300000,84,100000,0,7027.779785,42.9991421,98.99675708,42.9991421,75.0,75.0
SHB-YK60-626379,1,Self Contruction,3,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,1,1,0,38,5,30,13673,36643,22970,1923077,1730,1000000,180,500000,0,15390.04004,41.99994553,67.00060966,46.72117468,51.99999792,99.0
GUJ-B885-787698,1,Builder,1,Non_Rented,Home_Loan,Female,Salaried,Y,Married,Ind/SmallBus,U10,Others,0,0,1,59,4,22,9897,18211,8314,454545,0,200000,96,259000,32714,3824.290039,20.99989039,45.99819628,20.99989039,44.000044,44.0
SHB-82A9-689866,0,Self Contruction,3,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,UNDERGRADUATE,Reference,1,0,0,56,12,35,18921,54397,35477,2500000,0,1000000,144,1500000,0,16319.230469999999,30.00023985,45.99946576,30.00023985,40.0,40.0
SRT-17GH-774225,1,Self Contruction,2,Rented,Home_Loan,Female,Salaried,N,Married,Ind/SmallBus,U10,Reference,0,0,0,31,2,2,7330,15150,7819,516393,0,315000,180,110000,0,4847.859863000001,31.99907501,62.001021400000006,31.99907501,61.00005229,74.0
DEL-KO1Y-885223,1,Self Contruction,1,Rented,Home_Loan,Female,Salaried,Y,Married,Corporate,U10,Reference,0,0,0,41,5,8,19731,36643,16912,1250000,0,1000000,180,250000,0,15390.04004,41.99994553,91.00070979,41.99994553,80.0,80.0
